created,username_URL,username,username2,State,city,trails,trails_URL,trails_URL3,trails4,trails_URL5,trails6,dist
Mar 2,https://www.trailforks.com/profile/rubesmtb/,rubesmtb,rubesmtb,WI,Menomonie,,,,,,,10 miles
Mar 2,https://www.trailforks.com/profile/Jodie6542/,Jodie6542,Jodie6542,BC,North Vancouver,"  Inter-River Trail,
Premier Street Connector,
Arborlynn Connector (STAIRS),
Arborlynn Connector (STAIRS),
Bridgeman Park",https://www.trailforks.com/ridelog/view/22434236/achievements/,https://www.trailforks.com/trails/interriver-trail/,Inter-River Trail,https://www.trailforks.com/trails/premier-street-connector/,Premier Street Connector,2 miles
Mar 2,https://www.trailforks.com/profile/Izimm/,Izimm,Izimm,BC,Comox,"Humpty Jumpty, Gateway (Jump Trail), Low Pipeline Connector, Low Pipeline Connector, Low Pipeline Connector, Lazo Loop",https://www.trailforks.com/trails/humpty-jumpty/,https://www.trailforks.com/trails/gateway-jump-trail/,Gateway (Jump Trail),https://www.trailforks.com/trails/low-pipeline-connector/,Low Pipeline Connector,6 miles
Mar 2,https://www.trailforks.com/profile/TLMullendore/,TLMullendore,TLMullendore,UT,Bountiful,"  West Haven Trail (North),
West Haven Trail (Central),
West Haven Trail (south)",https://www.trailforks.com/ridelog/view/22437541/achievements/,https://www.trailforks.com/trails/west-haven-trail-north/,West Haven Trail (North),https://www.trailforks.com/trails/west-haven-trail-central/,West Haven Trail (Central),47 miles
Mar 2,https://www.trailforks.com/profile/Mikemarlys/,Mikemarlys,Mikemarlys,UT,St. George,"  Bearclaw Poppy (down),
Bearclaw Poppi,
Bearclaw Poppi (clavicle),
Bearclaw Poppy,
Connector,
Bearclaw Poppy (up),
Bearclaw Poppy (down)",https://www.trailforks.com/ridelog/view/22530958/achievements/,https://www.trailforks.com/trails/bearclaw-poppy-down/,Bearclaw Poppy (down),https://www.trailforks.com/trails/bearclaw-poppi-9287/,Bearclaw Poppi,12 miles
Mar 2,https://www.trailforks.com/profile/DustOrBustMTB/,DustOrBustMTB,DustOrBustMTB,CA,San Diego,"park village connector, Willy Bypass, Cantaberra, Cantaberra",https://www.trailforks.com/trails/park-village-connector/,https://www.trailforks.com/trails/willy-bypass/,Willy Bypass,https://www.trailforks.com/trails/cantaberra/,Cantaberra,12 miles
Mar 2,https://www.trailforks.com/profile/Ryanclaykelley/,Ryanclaykelley,Ryanclaykelley,AZ,Mesa,"  Bush Lite East,
Stinger Loop East,
Jumping Jacks Cut,
Scorpion",https://www.trailforks.com/ridelog/view/22433977/achievements/,https://www.trailforks.com/trails/bush-lite-east/,Bush Lite East,https://www.trailforks.com/trails/stinger-loop-east-162374/,Stinger Loop East,8 miles
Mar 2,https://www.trailforks.com/profile/Gpolomac/,Gpolomac,Gpolomac,WA,Kennewick,"  Big Tire,
To the Bike Shop,
Big Tire 2,
Humpty Pumpty,
X-Cut,
Dam Road,
To the Bike Shop",https://www.trailforks.com/ridelog/view/22434867/achievements/,https://www.trailforks.com/trails/big-tire/,Big Tire,https://www.trailforks.com/trails/to-the-bike-shop/,To the Bike Shop,7 miles
Mar 2,https://www.trailforks.com/profile/Hagemann1704/,Hagemann1704,Hagemann1704,NM,Albuquerque,Balloon Park Bike Path,https://www.trailforks.com/trails/balloon-park-bike-path/,,,,,21 miles
Mar 2,https://www.trailforks.com/profile/JMHPB/,JMHPB,JMHPB,UT,Hideout,Jordanelle Parkway,https://www.trailforks.com/trails/jordanelle-parkway/,,,,,13 miles
