title_URL,title,ridingarea,distance,descent,climb,DifficultyRating,Coordinates,Local_Popularity
https://www.trailforks.com/trails/hurd-stadium/,Hurd Stadium,Beverly,"1,316 ft",-17 ft,,"
                     White rate
                ","(42.555960, -70.871800)",30
https://www.trailforks.com/trails/hutchins-ct-greenbelt-1/,Hutchins Ct Greenbelt 1,Dogtown,"1,237 ft",-3 ft,76 ft,"
                     Blue rate
                ","(42.657360, -70.664720)",5
https://www.trailforks.com/trails/hutchins-ct-greenbelt-2/,Hutchins Ct Greenbelt 2,Dogtown,"1,460 ft",-34 ft,31 ft,"
                     Blue rate
                ","(42.655310, -70.662330)",5
https://www.trailforks.com/trails/hutchins-ct-greenbelt-3/,Hutchins Ct Greenbelt 3,Dogtown,577 ft,-23 ft,,"
                     Blue rate
                ","(42.657250, -70.663280)",5
https://www.trailforks.com/trails/hvd1/,HVD1,Hodges Village Dam,430 ft,,,"
                     Green rate
                ","(42.134250, -71.886310)",80
https://www.trailforks.com/trails/hvd2/,HVD2,Hodges Village Dam,472 ft,,,"
                     Green rate
                ","(42.132810, -71.888430)",50
https://www.trailforks.com/trails/hyde-park/,Hyde Park,Stony Brook Reservation,230 ft,-11 ft,,"
                     Blue rate
                ","(42.256410, -71.136710)",35
https://www.trailforks.com/trails/hydro-bypass/,Hydro Bypass,Collins Woodlot / Kettle Holes,942 ft,-10 ft,23 ft,"
                     Green rate
                ","(41.614090, -70.617990)",55
https://www.trailforks.com/trails/hynes-lane-exit/,Hynes Lane Exit,Delaney Flood Control,866 ft,-3 ft,11 ft,"
                     Green rate
                ","(42.454720, -71.554190)",20
https://www.trailforks.com/trails/hypotenuse-244526/,Hypotenuse,Falmouth,108 ft,,,"
                     Green rate
                ","(41.615380, -70.592130)",30
https://www.trailforks.com/trails/hyrda/,Hyrda,Chicopee Memorial State Park,"1,880 ft",,5 ft,"
                     Blue rate
                ","(42.172130, -72.564790)",85
https://www.trailforks.com/trails/i-am-hydrogen/,I Am Hydrogen,Franklin State Forest,427 ft,,3 ft,"
                     Green rate
                ","(42.083170, -71.415120)",5
https://www.trailforks.com/trails/i-road/,I Road,Massasoit State Park,866 ft,-15 ft,,"
                     White rate
                ","(41.866580, -70.986760)",55
https://www.trailforks.com/trails/i-wanna-rock/,I Wanna Rock,Wrentham State Forest & Conservation Lands,"1,476 ft",-22 ft,59 ft,"
                     Black Diamond rate
                ","(42.045320, -71.333880)",65
https://www.trailforks.com/trails/i-ll-be-in-my-bunk/,I'll Be In My Bunk,Wompatuck State Park,518 ft,,6 ft,"
                     Blue rate
                ","(42.218910, -70.851740)",20
https://www.trailforks.com/trails/i-m-out-bro/,"I'm Out, Bro",Stony Brook Reservation,240 ft,-11 ft,,"
                     Blue rate
                ","(42.269260, -71.142260)",5
https://www.trailforks.com/trails/icarus-345245/,Icarus,F. Gilbert Hills State Forest,659 ft,-18 ft,22 ft,"
                     Blue rate
                ","(42.069960, -71.263660)",45
https://www.trailforks.com/trails/icculus/,Icculus,Brandywine/Daniels Conservation Areas,"1,453 ft",-38 ft,,"
                     Green rate
                ","(42.129030, -71.387810)",5
https://www.trailforks.com/trails/ice-and-brick/,Ice and Brick,Wenham,"3,399 ft",-12 ft,8 ft,"
                     Green rate
                ","(42.598920, -70.893610)",5
https://www.trailforks.com/trails/ice-houce/,Ice Houce,Sawmill Hills,1 mile,-253 ft,150 ft,"
                     Blue rate
                ","(42.325210, -72.702160)",65
https://www.trailforks.com/trails/ice-house/,Ice House,Beebe Woods,"3,162 ft",-80 ft,51 ft,"
                     Blue rate
                ","(41.561010, -70.638090)",75
https://www.trailforks.com/trails/icing-on-the-cake/,Icing on the Cake,F. Gilbert Hills State Forest,"1,773 ft",-142 ft,26 ft,"
                     Black Diamond rate
                ","(42.054190, -71.285680)",90
https://www.trailforks.com/trails/if-i-could/,If I Could,Franklin State Forest,784 ft,-8 ft,,"
                     Green rate
                ","(42.077100, -71.416330)",50
https://www.trailforks.com/trails/if-work-stops-values-decay/,If Work Stops Values Decay,Dogtown,89 ft,,,"
                     Blue rate
                ","(42.639450, -70.651900)",40
https://www.trailforks.com/trails/ifr/,IFR,Carolina Hills,"2,457 ft",-47 ft,50 ft,"
                     Blue rate
                ","(42.117120, -70.730460)",85
https://www.trailforks.com/trails/imba-access/,IMBA Access,Batchelor Street Trails,"3,858 ft",-104 ft,177 ft,"
                     Green rate
                ","(42.286130, -72.519630)",80
https://www.trailforks.com/trails/in-between-gates/,In Between Gates,Collins Woodlot / Kettle Holes,"1,073 ft",-7 ft,,"
                     Green rate
                ","(41.612690, -70.619920)",20
https://www.trailforks.com/trails/incline-128328/,Incline,Stefan's Farm,"1,922 ft",,97 ft,"
                     Blue rate
                ","(42.193420, -71.632680)",5
https://www.trailforks.com/trails/incognito-346381/,Incognito,Plainville Conservation Land,843 ft,-24 ft,,"
                     Blue rate
                ","(42.024380, -71.333260)",90
https://www.trailforks.com/trails/india/,India,West Hill Dam,"1,138 ft",-7 ft,23 ft,"
                     Blue rate
                ","(42.121390, -71.608510)",80
https://www.trailforks.com/trails/india-loop/,India Loop,West Hill Dam,689 ft,,15 ft,"
                     Green rate
                ","(42.121370, -71.608650)",70
https://www.trailforks.com/trails/indian-head-river-trail/,Indian Head River Trail,Indian River Trails,2 miles,-75 ft,99 ft,"
                     Green rate
                ","(42.100460, -70.823070)",95
https://www.trailforks.com/trails/indian-head-road/,Indian Head Road,Hanson,1 mile,-6 ft,5 ft,"
                     White rate
                ","(42.052810, -70.851460)",30
https://www.trailforks.com/trails/indian-hill/,Indian Hill,Great Brook Farm State Park,"2,545 ft",-77 ft,76 ft,"
                     Blue rate
                ","(42.561050, -71.344530)",90
https://www.trailforks.com/trails/indian-hill-connector/,Indian Hill Connector,Great Brook Farm State Park,141 ft,,5 ft,"
                     Blue rate
                ","(42.560670, -71.344490)",60
https://www.trailforks.com/trails/indian-hill-spur/,Indian Hill Spur,Noon Hill & Shattuck Reservation,745 ft,-15 ft,,,"(42.153210, -71.314660)",20
https://www.trailforks.com/trails/indian-hill-turnpike/,Indian Hill Turnpike,Great Brook Farm State Park,"1,283 ft",-72 ft,2 ft,"
                     Blue rate
                ","(42.562280, -71.342160)",65
https://www.trailforks.com/trails/indian-hill-yellow-trail/,Indian Hill Yellow Trail,Noon Hill & Shattuck Reservation,"3,465 ft",-2 ft,62 ft,"
                     Green rate
                ","(42.155140, -71.309480)",85
https://www.trailforks.com/trails/indian-pipe-path/,Indian Pipe Path,Capen Hill Nature Sanctuary,"1,296 ft",-16 ft,,"
                     White rate
                ","(42.132250, -72.010080)",5
https://www.trailforks.com/trails/indian-ridge-connector-171490/,Indian Ridge Connector,Willowdale State Forest,118 ft,-6 ft,,"
                     Green rate
                ","(42.662550, -70.905510)",80
https://www.trailforks.com/trails/indian-ridge-trail/,Indian Ridge Trail,Willowdale State Forest,"1,757 ft",-61 ft,27 ft,"
                     Blue rate
                ","(42.665000, -70.907350)",95
https://www.trailforks.com/trails/indian-river-trail-north/,Indian River Trail North,Indian River Trails,2 miles,-34 ft,75 ft,"
                     Green rate
                ","(42.100460, -70.823070)",90
https://www.trailforks.com/trails/indian-rock-179046/,Indian Rock,Wharton Plantation,"2,825 ft",-32 ft,31 ft,"
                     Blue rate
                ","(42.631270, -71.510380)",80
https://www.trailforks.com/trails/indian-rock-access/,Indian Rock Access,Wharton Plantation,76 ft,-3 ft,,"
                     Blue rate
                ","(42.631200, -71.510120)",60
https://www.trailforks.com/trails/indian-rock-loop/,Indian Rock Loop,Wharton Plantation,279 ft,-30 ft,26 ft,"
                     Blue rate
                ","(42.629300, -71.513320)",30
https://www.trailforks.com/trails/indian-rock-trail-315609/,Indian Rock Trail,Indian Rock Conservation Area,"2,448 ft",-37 ft,55 ft,"
                     Blue rate
                ","(42.089350, -71.365740)",45
https://www.trailforks.com/trails/indicator/,Indicator,Wollomonopoag Conservation Area,994 ft,-53 ft,,"
                     Blue rate
                ","(42.061460, -71.358940)",5
https://www.trailforks.com/trails/infield-202531/,Infield,Gummere-Marsters-Lions Club System,"1,114 ft",,5 ft,"
                     Green rate
                ","(42.214510, -71.704700)",70
https://www.trailforks.com/trails/inkberry/,Inkberry,Mashpee River Woodlands,"1,211 ft",-36 ft,,"
                     Blue rate
                ","(41.626690, -70.483680)",90
https://www.trailforks.com/trails/inman-pond-loop-orange-blaze/,Inman Pond Loop (Orange Blaze),Cormier Woods,"3,235 ft",-72 ft,112 ft,"
                     Blue rate
                ","(42.081560, -71.590830)",20
https://www.trailforks.com/trails/inner-a-maze-ing-trail/,Inner a MAZE ing trail,Bourne,"3,576 ft",-23 ft,33 ft,"
                     Blue rate
                ","(41.669940, -70.616050)",70
https://www.trailforks.com/trails/inner-dead-sailor-cemetery-loop-north/,Inner Dead Sailor Cemetery Loop - North,Merrymount Park,511 ft,,6 ft,"
                     Blue rate
                ","(41.669940, -70.616050)",70
https://www.trailforks.com/trails/inner-dead-sailor-cemetery-loop-south/,Inner Dead Sailor Cemetery Loop - South,Merrymount Park,"1,176 ft",-7 ft,,"
                     Green rate
                ","(42.269360, -71.000110)",90
https://www.trailforks.com/trails/inner-field/,Inner Field,Spring Brook Conservation Area,620 ft,-6 ft,5 ft,"
                     White rate
                ","(42.135170, -71.237490)",5
https://www.trailforks.com/trails/inner-loop-127347/,Inner Loop,Amesbury Town Forest,"1,575 ft",-24 ft,19 ft,"
                    Red                ","(42.851110, -70.966479)",25
https://www.trailforks.com/trails/inner-rms/,Inner RMS,Tompson Street Reservation,"2,001 ft",-96 ft,27 ft,"
                     Blue rate
                ","(42.632580, -70.717000)",100
https://www.trailforks.com/trails/innovation-way-trail/,Innovation Way Trail,Freetown-Fall River SF / SEMASS Bioreserve Trails,1 mile,-109 ft,53 ft,"
                     Blue rate
                ","(41.764010, -71.093830)",35
https://www.trailforks.com/trails/inside-loop/,Inside Loop,Billerica State Forest,"2,090 ft",-35 ft,35 ft,"
                     Blue rate
                ","(42.573970, -71.298470)",90
https://www.trailforks.com/trails/inside-loop-connector/,Inside Loop Connector,Billerica State Forest,155 ft,,5 ft,"
                     Blue rate
                ","(42.574190, -71.298390)",50
https://www.trailforks.com/trails/interior/,Interior,Beaver Brook North,965 ft,-5 ft,3 ft,"
                     Blue rate
                ","(42.403010, -71.205790)",60
https://www.trailforks.com/trails/interior-connector/,Interior Connector,Perkins Woods,712 ft,-11 ft,,"
                     Green rate
                ","(42.675530, -70.966570)",65
https://www.trailforks.com/trails/internal-loop/,Internal Loop,Adams Farm,"2,575 ft",-7 ft,8 ft,"
                     Green rate
                ","(42.183050, -71.258630)",90
