length,difficulty,longitude,latitude,trail_link,city,popularity,rating,local_club,local_club_site,land_manager,land_manager_site,tot_climb,tot_descent,ave_grade,max_grade,max_elevation,min_elevation,dog_policy,e_bike_policy
11.6,EASY/INTERMEDIATE,33.806805,-111.787135,https://www.mtbproject.com/trail/7009302/hawknest-trail,Carefree,0.9664921465968587,4.5,City of Scottsdale,http://www.scottsdaleaz.gov/preserve,,,362.0,662.0,2.0,5.0,2957.0,2388.0,Leashed,Not Allowed
4.7,DIFFICULT,35.284696999999994,-111.631475,https://www.mtbproject.com/trail/978181/sunset,Flagstaff,0.9654450261780104,4.6,Flagstaff Biking Organization,https://www.mtbproject.com/club/910893/flagstaff-biking-organization,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,1488.0,486.0,8.0,50.0,9140.0,8058.0,Unknown,Unknown
2.7,DIFFICULT,33.669015,-111.701921,https://www.mtbproject.com/trail/5121383/technical-loop,Fountain Hills,0.9643979057591623,4.4,,,,,273.0,285.0,4.0,11.0,1816.0,1618.0,No Dogs,Allowed
1.8,INTERMEDIATE/DIFFICULT,34.867231,-111.76872,https://www.mtbproject.com/trail/4920687/grand-central,Sedona,0.9633507853403142,4.3,Verde Valley Cyclists Coalition,https://www.mtbproject.com/club/4920204/verde-valley-cyclists-coalition,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,400.0,188.0,6.0,21.0,4642.0,4242.0,Unknown,Unknown
0.3,DIFFICULT,34.821153,-111.78895,https://www.mtbproject.com/trail/4933774/cathedral-rock-connector-trail,West Sedona,0.962303664921466,4.7,,,,,0.0,107.0,7.0,23.0,4153.0,4045.0,Unknown,Unknown
13.7,INTERMEDIATE,32.475746,-110.960497,https://www.mtbproject.com/trail/7012708/rail-x-ranch-honeybee-canyon-loop,Catalina,0.9612565445026178,4.4,,,,,729.0,725.0,2.0,9.0,3660.0,3061.0,Unknown,Unknown
2.0,EASY/INTERMEDIATE,33.502995,-111.68415300000001,https://www.mtbproject.com/trail/7022869/trw-trail,Fountain Hills,0.9602094240837696,4.5,USFS - Tonto National Forest Office,http://www.fs.usda.gov/tonto/,,,76.0,161.0,2.0,6.0,1508.0,1362.0,Unknown,Unknown
1.0,DIFFICULT,32.501221,-110.859652,https://www.mtbproject.com/trail/7017453/upper-50-year-trail,Catalina,0.9591623036649215,4.8,Sonoran Desert Mountain Bicyclists,https://www.mtbproject.com/club/112648/sonoran-desert-mountain-bicyclists,,,90.0,308.0,7.0,24.0,3611.0,3320.0,Off-leash,Unknown
4.4,DIFFICULT,32.324856,-110.668805,https://www.mtbproject.com/trail/306975/la-milagrosa,Tanque Verde,0.9581151832460733,4.3,Tucson Off Road Cyclists & Activists (TORCA),https://www.mtbproject.com/club/7000193/tucson-off-road-cyclists-activists-torca,USFS - Coronado National Forest Office,http://www.fs.usda.gov/coronado,213.0,1381.0,7.0,23.0,4029.0,2809.0,Leashed,Not Allowed
2.1,INTERMEDIATE/DIFFICULT,34.822517,-111.799667,https://www.mtbproject.com/trail/600453/baldwin-loop,West Sedona,0.9570680628272251,3.8,Verde Valley Cyclists Coalition,https://www.mtbproject.com/club/4920204/verde-valley-cyclists-coalition,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,245.0,236.0,4.0,16.0,4126.0,3959.0,Unknown,Unknown
