trail_name,length,longitude,latitude,popularity,rating,tot_climb,tot_descent,ave_grade,max_grade,max_elevation,min_elevation,difficulty_difficult,difficulty_easy,difficulty_easy/intermediate,difficulty_intermediate,difficulty_intermediate/difficult,difficulty_very difficult,dog_policy_leashed,dog_policy_no dogs,dog_policy_off-leash,dog_policy_unknown,e_bike_policy_allowed,e_bike_policy_not allowed,e_bike_policy_unknown
adobe jack,0.014450867052023121,0.6341899763289671,0.505831516588799,0.9853403141361257,0.8,0.007677678382756921,0.01993852288776273,0.15789473684210525,0.1020408163265306,0.4149097815764482,0.4288906948394961,0,0,0,1,0,0,0,0,0,1,0,0,1
bunny loop,0.03251445086705202,0.14026805271076004,0.680682089754896,0.9842931937172775,0.8,0.005423681059378742,0.006812328653318933,0.05263157894736842,0.030612244897959183,0.2654320987654321,0.27956115400243803,0,1,0,0,0,0,0,0,0,1,0,0,1
cockscomb,0.02601156069364162,0.6341439160946774,0.4903417405207975,0.9832460732984293,0.8800000000000001,0.020849475241248153,0.023261610035723187,0.15789473684210525,0.12244897959183673,0.4295346628679962,0.44616009752133273,0,0,0,1,0,0,0,0,0,1,0,1,0
hangover trail,0.023121387283236997,0.6327205120326997,0.5173092796886003,0.9821989528795811,0.9800000000000001,0.017186729590758613,0.06255711556035556,0.3157894736842105,0.36734693877551017,0.48423551756885086,0.4626168224299065,0,0,0,0,0,1,0,0,0,1,0,0,1
broken arrow trail,0.01083815028901734,0.6269540563445197,0.510305471965836,0.981151832460733,0.8800000000000001,0.024653095724448827,0.005316939436736728,0.2631578947368421,0.2040816326530612,0.42668566001899333,0.4228971962616822,1,0,0,0,0,0,0,0,0,1,0,0,1
aerie,0.020953757225433526,0.6380717115001158,0.49401526576129484,0.9801047120418848,0.9,0.01845460308515884,0.018526210849879536,0.15789473684210525,0.12244897959183673,0.437037037037037,0.44748069890288494,0,0,0,1,0,0,0,0,0,1,0,0,1
national trail,0.09971098265895954,0.35647961272269324,0.44205141174213836,0.9790575916230366,0.96,0.13812777347326902,0.14364044197059067,0.2631578947368421,0.3571428571428571,0.2222222222222222,0.11580658268996342,1,0,0,0,0,0,1,0,0,0,1,0,0
high on the hog,0.002167630057803468,0.6250823683744002,0.510833984801863,0.9780104712041885,0.8800000000000001,0.0020426850743114743,0.007975409155105091,0.3684210526315789,0.18367346938775508,0.4237416904083571,0.4441284030881755,1,0,0,0,0,0,0,0,0,1,0,0,1
pigtail,0.004335260115606936,0.6255495762547714,0.5076903812953262,0.9769633507853404,0.9400000000000001,0.003169683736000564,0.011381573481764558,0.3157894736842105,0.11224489795918366,0.403988603988604,0.4188338073953677,1,0,0,0,0,0,0,0,0,1,0,0,1
arizona trail (aspen corner to fr 418),0.05057803468208093,0.712101041157676,0.5166590732938623,0.9759162303664921,0.9400000000000001,0.02049728815947031,0.07119714214505275,0.15789473684210525,0.09183673469387754,0.8441595441595441,0.8290329134498171,0,0,0,1,0,0,1,0,0,0,0,0,1
sidewinder trail,0.051300578034682076,0.4399436137038828,0.4524358700481841,0.974869109947644,0.82,0.048108755370853,0.06696020603140317,0.21052631578947367,0.16326530612244897,0.18584995251661918,0.1645672490857375,0,0,0,0,1,0,1,0,0,0,0,0,1
sonoran loop competitive track - outer loop,0.051300578034682076,0.406195208628759,0.3792237218962242,0.9738219895287958,0.8400000000000001,0.036486581672184264,0.043200132923485915,0.15789473684210525,0.1530612244897959,0.15147198480531815,0.13937423811458757,0,0,0,1,0,0,1,0,0,0,1,0,0
long loop,0.057803468208092484,0.41658857552655526,0.520446367042215,0.9727748691099476,0.8,0.032189899274494616,0.03738473041455512,0.10526315789473684,0.1020408163265306,0.1544159544159544,0.1463835839089801,0,0,0,1,0,0,0,0,0,1,1,0,0
schultz creek trail,0.030346820809248557,0.6982711880201968,0.5270752318033303,0.9717277486910995,0.86,0.061491864478410936,8.307717869901138e-05,0.21052631578947367,0.14285714285714285,0.7546058879392212,0.7191182446160097,0,0,0,1,0,0,0,0,0,1,0,0,1
little horse trail,0.01083815028901734,0.6240990359307323,0.5106661498359415,0.9706806282722513,0.82,0.0015496231598224979,0.02899393536595497,0.2631578947368421,0.12244897959183673,0.42203228869895537,0.41710686712718403,0,0,0,0,1,0,0,0,0,1,0,1,0
hog wash trail,0.00939306358381503,0.6259194863534052,0.5083120575069842,0.9696335078534032,0.82,0.006339367472001128,0.011464650660463569,0.15789473684210525,0.1530612244897959,0.40626780626780623,0.42584315318976024,1,0,0,0,0,0,0,0,0,1,0,0,1
