trail_name,length,longitude,latitude,popularity,rating,tot_climb,tot_descent,ave_grade,max_grade,max_elevation,min_elevation,difficulty_difficult,difficulty_easy,difficulty_easy/intermediate,difficulty_intermediate,difficulty_intermediate/difficult,difficulty_very difficult,dog_policy_leashed,dog_policy_no dogs,dog_policy_off-leash,dog_policy_unknown,e_bike_policy_allowed,e_bike_policy_not allowed,e_bike_policy_unknown
zooropa trail,0.013676588897827836,0.6978026946014326,0.40557892999215284,0.6702586206896552,0.7200000000000001,0.031072375899962108,0.08305413507317934,0.2,0.2727272727272727,0.2350647861483775,0.16861296472831266,0,0,0,0,1,0,0,1,0,0,0,0,1
pritchett canyon jeep road,0.04666130329847144,0.2995907049239257,0.8857757798297428,0.6691810344827587,0.8,0.0006820765441455097,0.04523011814494798,0.25,0.3181818181818182,0.6362802430913885,0.6238083889418493,0,0,0,0,1,0,1,0,0,0,1,0,0
kokopelli trail: hazard county - ups,0.014481094127111828,0.30920395380050447,0.9384760982360199,0.6681034482758621,0.7000000000000001,0.1173929518757105,0.07917474872156587,0.35000000000000003,0.5606060606060607,0.35190918472652216,0.22390371782650142,0,0,0,1,0,0,1,0,0,0,0,1,0
bonneville shoreline to coldwater canyon - north ogden,0.053901850362027354,0.8600772676608566,0.3824547873837538,0.6670258620689655,0.8,0.04744221295945434,0.20252160112854875,0.4,0.3939393939393939,0.8907235408783396,0.690538608198284,1,0,0,0,0,0,0,0,0,1,0,0,1
robertson pasture trail,0.05792437650844731,0.17159623065917184,0.9016653135331048,0.665948275862069,0.8,0.0055323986358469125,0.0013225180744136837,0.1,0.12121212121212122,0.06409815388143564,0.08174451858913245,1,0,0,0,0,0,1,0,0,0,1,0,0
rim ramble,0.006436041834271923,0.022201614827658922,0.017870428483394818,0.6648706896551724,0.8,0.006517620310723759,0.0,0.15000000000000002,0.12121212121212122,0.19630776287123036,0.2162774070543374,0,0,0,0,1,0,0,0,0,1,0,0,1
the edge,0.004827031375703942,0.3412510031001714,0.8667367583529781,0.6637931034482759,0.7000000000000001,0.01765820386510042,8.816787162757891e-05,0.1,0.07575757575757576,0.17922256621947025,0.18112488083889416,0,0,0,1,0,0,1,0,0,0,0,1,0
goulds,0.019308125502815767,0.026473588133363535,0.10578328091916944,0.6627155172413793,0.78,0.00015157256536566882,0.03526714865103156,0.25,0.19696969696969696,0.2657952069716775,0.2514299332697807,0,0,0,1,0,0,0,0,0,1,0,0,1
little salty,0.013676588897827836,0.3647516892861349,0.8519230554353285,0.6616379310344828,0.7200000000000001,0.0026525198938992045,0.010139305237171575,0.2,0.15151515151515152,0.3321866758399266,0.3541468064823641,0,0,0,0,1,0,1,0,0,0,0,0,1
wildcat,0.006436041834271923,0.31927734498892946,0.8383118880461353,0.6605603448275863,0.78,0.004244031830238727,0.0012343502027861047,0.1,0.10606060606060606,0.20880632954936357,0.23319828408007626,0,0,0,1,0,0,1,0,0,0,0,1,0
lime,0.007240547063555914,0.03946712096909799,0.1377173033773218,0.6594827586206897,0.78,0.009928003031451308,0.012608005642743784,0.15000000000000002,0.10606060606060606,0.3013415892672859,0.32411820781696854,0,0,0,0,1,0,0,0,1,0,0,0,1
and cookies,0.016090104585679808,0.6767342179745492,0.8797268405972147,0.6584051724137931,0.7200000000000001,0.06464569912845776,0.031740433785928404,0.25,0.24242424242424243,0.47471620227038186,0.436487130600572,0,1,0,0,0,0,0,0,1,0,0,0,1
